,Liechtenstein
1970,90098330.6654471
1971,104888628.171944
1972,124941925.010473
1973,165930611.729019
1974,193983720.461869
1975,246387479.177159
1976,272493879.020643
1977,303496276.263782
1978,436918176.733781
1979,503180669.994587
1980,534701915.617354
1981,511658690.561043
1982,522090331.478107
1983,524034109.856605
1984,502617355.407073
1985,529078995.563876
1986,779365167.602424
1987,1052843347.63948
1988,1161757671.01756
1989,1120000916.92646
1990,1421466239.56234
1991,1484152022.3152
1992,1631197909.259
1993,1673104493.77369
1994,1948118227.68151
1995,2428461395.34884
1996,2504033252.42718
1997,2298410390.68421
1998,2479721340.8746
1999,2664026095.06058
2000,2483953102.79488
2001,2491822706.80256
2002,2688630822.53304
2003,3070691319.52179
2004,3454362685.96703
2005,3659251525.8593
2006,4000239272.61126
2007,4601299566.81106
2008,5081432924.0144
2009,4504549214.22663
2010,5082366478.08994
2011,5739977477.47748
2012,5456009384.66461
2013,6391735893.83968
2014,6657170923.37918
2015,6268391521.19701
2016,6237264055.20601
2017,6474256118.61481
2018,6692504346.04765
2019,6427248943.44939
