,Burkina Faso
1960,330442817.168859
1961,350247237.11684
1962,379567023.340308
1963,394040588.303477
1964,410321618.17137
1965,422916848.424208
1966,433889831.584706
1967,450753993.176448
1968,460442678.217048
1969,478298597.556707
1970,458404330.125096
1971,482411103.787272
1972,578595583.975723
1973,674773518.411839
1974,751133330.591384
1975,939972703.463021
1976,976547163.53387
1977,1131224818.33053
1978,1475583383.37265
1979,1748480982.18517
1980,1928719477.41287
1981,1775842026.4121
1982,1754449845.3012
1983,1600278756.43589
1984,1459880018.54646
1985,1552493068.4254
1986,2036303381.20142
1987,2369834650.08921
1988,2616040645.87263
1989,2615587725.77391
1990,3101300641.87512
1991,3135045684.1006
1992,3356692517.86417
1993,3199536227.94818
1994,1895290623.44033
1995,2379518099.2266
1996,2586550747.09844
1997,2447668984.53131
1998,2804902248.28537
1999,3389566982.51573
2000,2968369991.46729
2001,3190371050.45524
2002,3622350203.94595
2003,4740768355.22974
2004,5451688868.42974
2005,6146352742.03313
2006,6547420133.69942
2007,7625723123.54939
2008,9451436358.96861
2009,9450697335.53565
2010,10109618964.2848
2011,12080296644.0643
2012,12561016091.4673
2013,13444301139.1384
2014,13943016923.9017
2015,11832159275.603
2016,12833363370.174
2017,14106956830.0857
2018,15890065019.7634
2019,16178162030.0694
2020,17933606353.1775
2021,19737615114.3661
