,Fiji
1960,112328422.113084
1961,116987784.913739
1962,122906434.957814
1963,129454728.623599
1964,140032741.468329
1965,147084750.031482
1966,150603925.515853
1967,162625885.863484
1968,166952937.135005
1969,182182067.703568
1970,219878482.173564
1971,247749327.721267
1972,316650508.967523
1973,425963359.355326
1974,558589870.903674
1975,684268280.812751
1976,694552411.718837
1977,719533137.126662
1978,829239489.844119
1979,1019743927.24662
1980,1202567359.4132
1981,1235665808.56541
1982,1194122694.12269
1983,1123107276.30285
1984,1177997413.63384
1985,1141123439.66713
1986,1290228616.82408
1987,1177908191.97685
1988,1109976927.91722
1989,1182686577.22645
1990,1337024782.22702
1991,1383843860.1247
1992,1532401862.94079
1993,1636074717.86224
1994,1825763267.53637
1995,1970347720.96992
1996,2128696643.62574
1997,2090184941.46983
1998,1653160861.68714
1999,1936484565.39399
2000,1678239218.26553
2001,1652464201.00149
2002,1833279985.36741
2003,2300453634.34962
2004,2708078476.63012
2005,2980484920.16558
2006,3076305452.86506
2007,3378314599.76402
2008,3523185919.55826
2009,2870624635.68032
2010,3140508835.9485
2011,3774530615.65916
2012,3972012570.53467
2013,4190143206.25611
2014,4856963229.83999
2015,4682546863.08162
2016,4930204229.72263
2017,5353404422.08138
2018,5581371850.14851
2019,5496264765.78411
2020,4574413823.31243
2021,4592118709.55279
