,Uzbekistan
1990,13360607917.8773
1991,13677622222.2222
1992,12941297376.0933
1993,13099013835.5111
1994,12899156990.6156
1995,13350468917.4115
1996,13948892215.5689
1997,14744603773.5849
1998,14988971210.8383
1999,17078465982.0282
2000,13760513969.314
2001,11401421329.1974
2002,9687788512.80184
2003,10134453435.4603
2004,12030023547.8807
2005,14307509838.8053
2006,17330833852.919
2007,22311393927.8817
2008,29549438883.8338
2009,33689223673.2577
2010,49765676402.4495
2011,60178909297.208
2012,67517349212.0609
2013,73180036692.3255
2014,80845384375.1236
2015,86196265191.6645
2016,86138288615.1218
2017,62081323299.0324
2018,52633143808.1824
2019,59907674027.4676
2020,59894305352.8955
2021,69238903106.1738
